"courseId";"courseName";"shortName";"credit"
"2100111";"Exploring Engineering World";"EXPL ENG WORLD";3
"2103106";"Engineering Drawing";"ENG DRAWING";3
"2109101";"Engineering Materials";"ENG MATERIALS";3
"2110101";"Computer Programming";"COMP PROG";3
"2110201";"Computer Engineering Mathematics";"COMP ENG MATH";3
"2110202";"Discrete Structures";"DISCRETE STRUC";4
"2110211";"Data Structure";"DATA STRUC";3
"2110215";"Programming Methodology I";"PROG METH I";3
"2110221";"Computer Engineering Essentials";"COMP ENG ESS";3
"2110251";"Digital Computer Logic";"DIG COM LOG";3
"2110263";"Digital Computer Logic Laboratory I";"DIG LOGIC LAB I";1
"2110313";"Operating System";"OS";3
"2110315";"Parallel and Distributed Systems";"PARALLEL DIST SYS";3
"2110316";"Programming Language Principles";"PROG LANG PRIN";3
"2110322";"Database Systems";"DB SYS";3
"2110325";"Computer System Architectures";"COMP SYS ARCH";3
"2110327";"Algorithm Design";"ALGORITHM DESIGN";3
"2110332";"System Analysis and Design";"SYS ANAL DESIGN";3
"2110356";"Embedded System";"EMBEDDED SYS";3
"2110363";"Hardware Synthesis Laboratory I";"HW SYN LAB I";1
"2110366";"Embedded System Laboratory";"EMBEDDED SYS LAB I";1
"2110423";"Software Engineering";"SOFTWARE ENG";3
"2110471";"Computer Networks I";"COMP NETWORK I";3
"2110490";"Computer Engineering Pre-Project";"COMP ENG PRE-PROJ";1
"2110499";"Computer Engineering Projects";"COMP ENG PROJECT";3
"2301107";"Calculus I";"CALCULUS I";3
"2301108";"Calculus II";"CALCULUS II";3
"2302127";"General Chemistry";"GEN CHEM";3
"2302163";"General Chemistry Laboratory";"GEN CHEM LAB";1
"2303284";"Statistics for Physical Science";"STAT PHYS SCIENCE";3
"2304103";"General Physics I";"GEN PHYS I";3
"2304104";"General Physics II";"GEN PHYS II";3
"2304183";"General Physics Laboratory I";"GEN PHYS LAB I";1
"2304184";"General Physics Laboratory II";"GEN PHYS LAB II";3
"5500111";"Experiential English I";"EXP ENG I";3
"5500112";"Experiential English II";"EXP ENG II";3
"5500208";"Communication and Presentation Skills";"COM PRES SKIL";3
"5500308";"Technical Writing for Engineering";"TECH WRIT ENG";3
