"facultyId";"facultyName";"tuitionFeeNormal";"tuitionFeeSummer";"gradeRequirment";"creditRequirment"
"21";"คณะวิศวกรรมศาสตร์";21000;5250;2.0;144
"22";"คณะอักษรศาสตร์";17000;5250;2.0;150
"23";"คณะวิทยาศาสตร์";21000;5250;2.0;135
"24";"คณะรัฐศาสตร์";17000;5250;2.0;141
"25";"คณะสถาปัตยกรรมศาสตร์";21000;5250;2.0;150
"26";"คณะพาณิชยศาสตร์และการบัญชี";17000;5250;2.0;145
"27";"คณะครุศาสตร์";17000;5250;2.0;170
"28";"คณะนิเทศศาสตร์";21000;5250;2.0;136
"29";"คณะเศรษฐศาสตร์";17000;5250;2.0;147
"30";"คณะแพทยศาสตร์";21000;5250;2.0;242
"31";"คณะสัตวแพทยศาสตร์";21000;5250;2.0;235
"32";"คณะทันตแพทยศาสตร์";21000;5250;2.0;231
"33";"คณะเภสัชศาสตร์";21000;5250;2.0;241
"34";"คณะนิติศาสตร์";17000;5250;2.0;138
"35";"คณะศิลปกรรมศาสตร์";21000;5250;2.0;136
"36";"คณะพยาบาลศาสตร์";21000;5250;2.0;140
"37";"คณะสหเวชศาสตร์";21000;5250;2.0;140
"38";"คณะจิตวิทยา";21000;5250;2.0;145
"39";"คณะวิทยาศาสตร์การกีฬา";21000;5250;2.0;137
"40";"สำนักวิชาทรัพยากรการเกษตร";17000;5250;2.0;140
